Ewe/V,Capacity/mA.h
2.64E-01,0.144011231
2.64E-01,0.144151328
2.64E-01,0.144291425
2.64E-01,0.144431521
2.64E-01,0.144571615
2.64E-01,0.144711712
2.64E-01,0.144851808
2.63E-01,0.144991903
2.63E-01,0.145131999
2.63E-01,0.145272096
2.63E-01,0.145412197
2.63E-01,0.145552293
2.63E-01,0.145692393
2.63E-01,0.145832491
2.63E-01,0.145972588
2.63E-01,0.146112684
2.62E-01,0.146252781
2.63E-01,0.146392876
2.62E-01,0.14653297
2.62E-01,0.146673065
2.62E-01,0.14681316
2.62E-01,0.146953259
2.62E-01,0.147093356
2.62E-01,0.147233453
2.62E-01,0.147373547
2.62E-01,0.147513646
2.62E-01,0.147653747
2.61E-01,0.14779385
2.61E-01,0.147933952
2.61E-01,0.148074051
2.61E-01,0.148214152
2.61E-01,0.148354252
2.61E-01,0.148494354
2.61E-01,0.148634453
2.61E-01,0.148774556
2.61E-01,0.148914658
2.61E-01,0.149054762
2.61E-01,0.149194865
2.60E-01,0.149334968
2.60E-01,0.149475072
